Timestamp (seconds),Hand X,Hand Y,In Zone (1=Yes/0=No),Part Placed
0.029,437.50,187.73,0,
0.698,437.50,187.73,0,
0.739,437.50,187.73,0,
2.109,437.50,187.73,0,
2.153,437.50,187.73,0,
2.160,437.50,187.73,0,
2.252,437.50,187.73,0,
2.257,437.50,187.73,0,
2.262,437.50,187.73,0,
2.287,437.50,187.73,0,
2.292,437.50,187.73,0,
2.298,437.50,187.73,0,
2.319,437.50,187.73,0,
2.323,437.50,187.73,0,
2.327,437.50,187.73,0,
2.360,437.50,187.73,0,
2.364,437.50,187.73,0,
2.369,437.50,187.73,0,
2.374,437.50,187.73,0,
2.383,437.50,187.73,0,
2.390,437.50,187.73,0,
2.399,437.50,187.73,0,
2.405,437.50,187.73,0,
2.414,437.50,187.73,0,
2.425,437.50,187.73,0,
2.447,437.50,187.73,0,
2.456,437.50,187.73,0,
2.469,437.50,187.73,0,
2.474,437.50,187.73,0,
2.480,437.50,187.73,0,
2.485,437.50,187.73,0,
2.492,437.50,187.73,0,
2.496,437.50,187.73,0,
2.502,437.50,187.73,0,
2.508,437.50,187.73,0,
2.512,437.50,187.73,0,
2.517,437.50,187.73,0,
2.522,437.50,187.73,0,
2.526,437.50,187.73,0,
2.535,437.50,187.73,0,
2.539,437.50,187.73,0,
2.564,437.50,187.73,0,
2.585,437.50,187.73,0,
2.592,437.50,187.73,0,
2.597,437.50,187.73,0,
2.603,437.50,187.73,0,
2.610,437.50,187.73,0,
2.618,437.50,187.73,0,
2.624,437.50,187.73,0,
2.633,437.50,187.73,0,
2.639,437.50,187.73,0,
2.646,437.50,187.73,0,
2.653,437.50,187.73,0,
2.659,437.50,187.73,0,
2.664,437.50,187.73,0,
2.672,437.50,187.73,0,
2.678,437.50,187.73,0,
2.683,437.50,187.73,0,
2.688,437.50,187.73,0,
2.695,437.50,187.73,0,
2.702,437.50,187.73,0,
2.708,437.50,187.73,0,
2.716,437.50,187.73,0,
2.722,437.50,187.73,0,
2.730,437.50,187.73,0,
2.738,437.50,187.73,0,
2.745,437.50,187.73,0,
2.759,437.50,187.73,0,
2.765,437.50,187.73,0,
2.773,437.50,187.73,0,
2.780,437.50,187.73,0,
2.788,437.50,187.73,0,
2.797,437.50,187.73,0,
2.805,437.50,187.73,0,
2.812,437.50,187.73,0,
2.819,437.50,187.73,0,
2.823,437.50,187.73,0,
2.828,437.50,187.73,0,
2.833,437.50,187.73,0,
2.839,437.50,187.73,0,
2.845,437.50,187.73,0,
2.852,437.50,187.73,0,
2.857,437.50,187.73,0,
2.862,437.50,187.73,0,
2.867,437.50,187.73,0,
2.873,437.50,187.73,0,
2.877,437.50,187.73,0,
2.885,437.50,187.73,0,
2.893,437.50,187.73,0,
2.898,437.50,187.73,0,
2.905,437.50,187.73,0,
2.913,437.50,187.73,0,
2.921,437.50,187.73,0,
2.932,437.50,187.73,0,
2.940,437.50,187.73,0,
2.949,437.50,187.73,0,
2.956,437.50,187.73,0,
2.960,437.50,187.73,0,
2.966,437.50,187.73,0,
2.974,437.50,187.73,0,
2.980,437.50,187.73,0,
2.987,437.50,187.73,0,
2.993,437.50,187.73,0,
2.998,437.50,187.73,0,
3.003,437.50,187.73,0,
3.007,437.50,187.73,0,
3.013,437.50,187.73,0,
3.021,437.50,187.73,0,
3.026,437.50,187.73,0,
3.031,437.50,187.73,0,
3.036,437.50,187.73,0,
3.043,437.50,187.73,0,
3.050,437.50,187.73,0,
3.056,437.50,187.73,0,
3.060,437.50,187.73,0,
3.065,437.50,187.73,0,
3.071,437.50,187.73,0,
3.075,437.50,187.73,0,
3.083,437.50,187.73,0,
3.089,437.50,187.73,0,
3.095,437.50,187.73,0,
3.100,437.50,187.73,0,
3.104,437.50,187.73,0,
3.111,437.50,187.73,0,
3.116,437.50,187.73,0,
3.120,437.50,187.73,0,
3.126,437.50,187.73,0,
3.131,437.50,187.73,0,
3.136,437.50,187.73,0,
3.142,437.50,187.73,0,
3.147,437.50,187.73,0,
3.152,437.50,187.73,0,
3.162,437.50,187.73,0,
3.167,437.50,187.73,0,
3.172,437.50,187.73,0,
3.182,437.50,187.73,0,
3.190,437.50,187.73,0,
3.198,437.50,187.73,0,
3.203,437.50,187.73,0,
3.210,437.50,187.73,0,
3.218,437.50,187.73,0,
3.225,437.50,187.73,0,
3.231,437.50,187.73,0,
3.237,437.50,187.73,0,
3.242,437.50,187.73,0,
3.252,437.50,187.73,0,
3.258,437.50,187.73,0,
3.263,437.50,187.73,0,
3.267,437.50,187.73,0,
3.273,437.50,187.73,0,
3.278,437.50,187.73,0,
3.283,437.50,187.73,0,
3.289,437.50,187.73,0,
3.295,437.50,187.73,0,
3.300,437.50,187.73,0,
3.304,437.50,187.73,0,
3.309,437.50,187.73,0,
3.316,437.50,187.73,0,
3.323,437.50,187.73,0,
3.328,437.50,187.73,0,
3.333,437.50,187.73,0,
3.337,437.50,187.73,0,
3.342,437.50,187.73,0,
3.347,437.50,187.73,0,
3.353,437.50,187.73,0,
3.357,437.50,187.73,0,
3.362,437.50,187.73,0,
3.366,437.50,187.73,0,
3.370,437.50,187.73,0,
3.375,437.50,187.73,0,
3.379,437.50,187.73,0,
3.386,437.50,187.73,0,
3.389,437.50,187.73,0,
3.394,437.50,187.73,0,
3.399,437.50,187.73,0,
3.404,437.50,187.73,0,
3.410,437.50,187.73,0,
3.416,437.50,187.73,0,
3.422,437.50,187.73,0,
3.426,437.50,187.73,0,
3.434,437.50,187.73,0,
3.439,437.50,187.73,0,
3.445,437.50,187.73,0,
3.454,437.50,187.73,0,
3.459,437.50,187.73,0,
3.464,437.50,187.73,0,
3.469,437.50,187.73,0,
3.476,437.50,187.73,0,
3.483,437.50,187.73,0,
3.488,437.50,187.73,0,
3.492,437.50,187.73,0,
3.496,437.50,187.73,0,
3.501,437.50,187.73,0,
3.506,437.50,187.73,0,
3.509,437.50,187.73,0,
3.515,437.50,187.73,0,
3.519,437.50,187.73,0,
3.526,437.50,187.73,0,
3.532,437.50,187.73,0,
3.536,437.50,187.73,0,
3.541,437.50,187.73,0,
3.545,437.50,187.73,0,
3.552,437.50,187.73,0,
3.558,437.50,187.73,0,
3.564,437.50,187.73,0,
3.568,437.50,187.73,0,
3.574,437.50,187.73,0,
3.578,437.50,187.73,0,
3.584,437.50,187.73,0,
3.589,437.50,187.73,0,
3.596,437.50,187.73,0,
3.600,437.50,187.73,0,
3.605,437.50,187.73,0,
3.609,437.50,187.73,0,
3.615,437.50,187.73,0,
3.619,437.50,187.73,0,
3.626,437.50,187.73,0,
3.631,437.50,187.73,0,
3.634,437.50,187.73,0,
3.640,437.50,187.73,0,
3.644,437.50,187.73,0,
3.651,437.50,187.73,0,
3.659,437.50,187.73,0,
3.663,437.50,187.73,0,
3.667,437.50,187.73,0,
3.673,437.50,187.73,0,
3.679,437.50,187.73,0,
3.686,437.50,187.73,0,
3.694,437.50,187.73,0,
3.698,437.50,187.73,0,
3.704,437.50,187.73,0,
3.708,437.50,187.73,0,
3.716,437.50,187.73,0,
3.724,437.50,187.73,0,
3.728,437.50,187.73,0,
3.735,437.50,187.73,0,
3.740,437.50,187.73,0,
3.747,437.50,187.73,0,
3.756,437.50,187.73,0,
3.763,437.50,187.73,0,
3.769,437.50,187.73,0,
3.775,437.50,187.73,0,
3.781,437.50,187.73,0,
3.787,437.50,187.73,0,
3.792,437.50,187.73,0,
3.798,437.50,187.73,0,
3.806,437.50,187.73,0,
3.813,437.50,187.73,0,
3.821,437.50,187.73,0,
3.826,437.50,187.73,0,
3.833,437.50,187.73,0,
3.836,437.50,187.73,0,
3.841,437.50,187.73,0,
3.845,437.50,187.73,0,
3.850,437.50,187.73,0,
3.855,437.50,187.73,0,
3.860,437.50,187.73,0,
3.866,437.50,187.73,0,
3.871,437.50,187.73,0,
3.876,437.50,187.73,0,
3.882,437.50,187.73,0,
3.886,437.50,187.73,0,
3.891,437.50,187.73,0,
3.897,437.50,187.73,0,
3.902,437.50,187.73,0,
3.906,437.50,187.73,0,
3.912,437.50,187.73,0,
3.916,437.50,187.73,0,
3.922,437.50,187.73,0,
3.930,437.50,187.73,0,
3.936,437.50,187.73,0,
3.940,437.50,187.73,0,
3.946,437.50,187.73,0,
3.953,437.50,187.73,0,
3.962,437.50,187.73,0,
3.967,437.50,187.73,0,
3.974,437.50,187.73,0,
3.978,437.50,187.73,0,
3.983,437.50,187.73,0,
3.987,437.50,187.73,0,
3.994,437.50,187.73,0,
3.999,437.50,187.73,0,
4.004,437.50,187.73,0,
4.009,437.50,187.73,0,
4.014,437.50,187.73,0,
4.019,437.50,187.73,0,
4.025,437.50,187.73,0,
4.030,437.50,187.73,0,
4.034,437.50,187.73,0,
4.039,437.50,187.73,0,
4.046,437.50,187.73,0,
4.054,437.50,187.73,0,
4.063,437.50,187.73,0,
4.069,437.50,187.73,0,
4.076,437.50,187.73,0,
4.080,437.50,187.73,0,
4.088,437.50,187.73,0,
4.093,437.50,187.73,0,
4.098,437.50,187.73,0,
4.104,437.50,187.73,0,
4.110,437.50,187.73,0,
4.116,437.50,187.73,0,
4.122,437.50,187.73,0,
4.126,437.50,187.73,0,
4.131,437.50,187.73,0,
4.136,437.50,187.73,0,
4.141,437.50,187.73,0,
4.145,437.50,187.73,0,
4.152,437.50,187.73,0,
4.157,437.50,187.73,0,
4.161,437.50,187.73,0,
4.166,437.50,187.73,0,
4.171,437.50,187.73,0,
4.175,437.50,187.73,0,
4.179,437.50,187.73,0,
4.185,437.50,187.73,0,
4.189,437.50,187.73,0,
4.195,437.50,187.73,0,
4.201,437.50,187.73,0,
4.206,437.50,187.73,0,
4.211,437.50,187.73,0,
4.214,437.50,187.73,0,
4.220,437.50,187.73,0,
4.223,437.50,187.73,0,
4.231,437.50,187.73,0,
4.234,437.50,187.73,0,
4.240,437.50,187.73,0,
4.244,437.50,187.73,0,
4.249,437.50,187.73,0,
4.254,437.50,187.73,0,
4.258,437.50,187.73,0,
4.265,437.50,187.73,0,
4.269,437.50,187.73,0,
4.275,437.50,187.73,0,
4.279,437.50,187.73,0,
4.284,437.50,187.73,0,
4.288,437.50,187.73,0,
4.295,437.50,187.73,0,
4.299,437.50,187.73,0,
4.303,437.50,187.73,0,
4.309,437.50,187.73,0,
4.314,437.50,187.73,0,
4.320,437.50,187.73,0,
4.327,437.50,187.73,0,
4.332,437.50,187.73,0,
4.337,437.50,187.73,0,
